Name,Size,Level,Keywords,HP,AC,Tags,Source
Afneith,Large,8,"neutral, large, beast",140,26,"darkvision, echolocation, scent",Battlezoo Bestiary: 10
Arcarayut,Small,10,"lawful neutral, small, aeon, inevitable, monitor",175,30,"darkvision, true seeing, regeneration, gravity",Battlezoo Bestiary: 11
Ardeodaemon - Fire Daemon,Small,4,"neutral evil, small, daemon, fiend",60,20,"darkvision, stealth, fire",Battlezoo Bestiary: 12
Astringent Armor,Medium,8,"neutral, medium, construct, mindless",115,27,"darkvision, athletics, stealth, armor, object",Battlezoo Bestiary: 13
Blood Mouse,Tiny,1,"neutral, tiny, animal",16,16,"darkvision, acrobatics, stealth, survival, blood",Battlezoo Bestiary: 14
Butcher Booth,Gargantuan,12,"uncommon, chaotic evil, gargantuan, aberration",270,30,"sound mimic, fearsense, greater darkvision, mimic, swallow",Battlezoo Bestiary: 15
Chamber Ooze,Large,5,"neutral, large, mindless, ooze",100,13,"motion sense, ooze, paralysis",Battlezoo Bestiary: 16
Cloaked Gouger,Medium,6,"neutral evil, medium, fey",95,23,"all-around vision, dazzling, eyes",Battlezoo Bestiary: 17
Mechanical Maitre D,Medium,6,"neutral, medium, construct",80,24,"poison, food",Battlezoo Bestiary: 18
Automatic Acolyte,Medium,8,"neutral, medium, construct",110,26,"fire, caster",Battlezoo Bestiary: 19
Bespoke Bodyguard,Large,10,"neutral, large, construct, mindless",140,30,"protect, defense",Battlezoo Bestiary: 20
Coquecigrue,Small,8,"rare, neutral, small, aberration",120,27,"stupefied, aura, confused",Battlezoo Bestiary: 21
Coromn (Crown Devil),Medium,6,"lawful evil, medium, devil, fiend",75,21,"celestial, dimension door, suggestion, influence",Battlezoo Bestiary: 22
Corpsesewn Colossus,Huge,12,"uncommon, neutral evil, huge, construct, mindless",270,31,"dead, poison, swallow",Battlezoo Bestiary: 23
Creusadaemon (Fever Daemon),Medium,7,"neutral evil, medium, daemon, fiend",110,24,"leap, fever, disease, range",Battlezoo Bestiary: 24
Dredgenaut,Huge,14,"uncommon, neutral, huge, construct, mindless",230,35,"fire, mental, swallow, temporal, time",Battlezoo Bestiary: 25
Dundrath,Large,6,"uncommon, chaotic evil, large, dundrath, humanoid",120,21,"shield, range, swallow",Battlezoo Bestiary: 26
Eeko,Small,6,"chaotic good, small, fey, plant",120,23,"bugs, poison",Battlezoo Bestiary: 27
Excubitor (Chaperone Devil),Medium,8,"lawful evil, medium, devil, fiend",135,27,swallow,Battlezoo Bestiary: 28
Eyesore,Medium,3,"neutral, medium, mindless, ooze",80,11,"acid, dazzled, blinded",Battlezoo Bestiary: 29
Feld Hag,Medium,5,"chaotic evil, medium, hag, humanoid",55,22,"occult, polymporph, shapechange",Battlezoo Bestiary: 30
Ferropaceon,Large,10,"uncommon, neutral, large, earth, elemental",185,30,"magnetic, metal, earth",Battlezoo Bestiary: 31
Fungal Raptor,Medium,6,"uncommon, neutral, medium, fungus",120,24,"fungus, mushroom, sickened, disease",Battlezoo Bestiary: 32
Fylaka,Medium,6,"neutral, medium, monitor, psychopomp",120,23,"swallow, negative damage, breath weapon",Battlezoo Bestiary: 33
G'mayun,Small,0,"chaotic neutral, small, humanoid, g'mayun",14,15,"auditory, emotion",Battlezoo Bestiary: 34
Galtzagorri,Tiny,2,"chaotic neutral, tiny, fey, sprite",35,17,"primate, spellcaster",Battlezoo Bestiary: 35
Garataur,Large,5,"uncommon, neutral, large, beast, gnoll",75,22,"frightened, movement",Battlezoo Bestiary: 36
Ghostwriter,Medium,6,"chaotic evil, medium, incorporeal, spirit, undead",70,23,"spellcaster, possession",Battlezoo Bestiary: 37
"Glaucus Slug, Giant",Small,4,"neutral, small, animal, aquatic, mindless",80,18,"water, jellyfish, poison",Battlezoo Bestiary: 38
Gymnophobia,Large,9,"uncommon, chaotic evil, large, aberration, amphibious",160,28,"grapple, shield, constrict",Battlezoo Bestiary: 39
Hearth Hound,Medium,4,"uncommon, neutral, medium, beast, incorporeal, spirit, undead",45,20,"fire, negative, slowed",Battlezoo Bestiary: 40
Hieroglyph Scorpion,Small,10,"uncommon, neutral, small, construct, incorporeal, mindless",110,28,"poison, climb, polymorph",Battlezoo Bestiary: 41
Hook Hanger,Medium,7,"neutral evil, medium, aberration",140,24,"incapacitation, clumsy, climb",Battlezoo Bestiary: 42
Hook Melon,Medium,4,"neutral evil, medium, plant",90,20,"movement, grabbed",Battlezoo Bestiary: 43
Leshy Husk,Small,0,"chaotic evil, small, husk, leshy, plant",22,16,"necrotic, shapechange, negative, drained",Battlezoo Bestiary: 44
Dryad Husk,Medium,3,"chaotic evil, medium, fey, husk, nymph, plant",70,18,"drained, darkness, stupefied",Battlezoo Bestiary: 45
Arboreal Husk,Huge,8,"chaotic evil, huge, husk, plant",170,25,"drained, awakened",Battlezoo Bestiary: 46
Irivyrn,Huge,12,"chaotic neutral, huge, dragon, fey",250,33,"poison, breath weapon, blinded",Battlezoo Bestiary: 47
Iron Fern,Medium,2,"netural, medium, mindless, plant",20,19,"tremorsense, spores, blinded",Battlezoo Bestiary: 48
Jikou,Tiny,12,"uncommon, lawful neutral, tiny, dream, fey, incorporeal",200,30,"darkvision, lifesense, telepathy, sneak attack",Battlezoo Bestiary: 49
Jungle Mantis Swarm,Large,8,"neutral, large, animal, swarm",115,26,"darkvision, grabbed",Battlezoo Bestiary: 50
Keepsake Warden,Large,9,"uncommon, neutral, large, giant, humanoid",170,26,"occult, fast healing",Battlezoo Bestiary: 51
Khazorat,Large,20,"rare, neutral evil, large, fiend",400,44,"all-around vision, spells, divine",Battlezoo Bestiary: 52
Killing Intent,Medium,4,"uncommon, chaotic evil, medium, ethereal, incorporeal, spirit",45,18,"emotion, occult, sickened",Battlezoo Bestiary: 53
Knotsman,Medium,7,"neutral, medium, construct, mindless",115,26,grabbed,Battlezoo Bestiary: 54
Living Blade,Medium,8,"uncommon, neutral evil, medium, construct, soulbound",100,27,occult,Battlezoo Bestiary: 55
Living Divination Deck,Tiny,1,"rare, neutral, tiny, construct, soulbound",25,15,"divination, fortune, sentient item",Battlezoo Bestiary: 56
Living Library,Medium,9,"rare, neutral, medium, construct",200,26,"book, polymorph, shapechange, scroll",Battlezoo Bestiary: 57
Living Proof,Tiny,1,"neutral, tiny, construct, minion",20,14,"fly, bomb, spellcaster",Battlezoo Bestiary: 58
Lost Savior,Medium,11,"rare, lawful evil, medium, undead",11,31,"occult, frightened, stunned",Battlezoo Bestiary: 59
Matrona,Gargantuan,15,"lawful evil, gargantuan, construct, fey",320,37,"fly, primal",Battlezoo Bestiary: 60
Mechanical Artillerist,Large,7,"neutral, large, construct, mindless",100,25,"artillery, mechanical",Battlezoo Bestiary: 61
Milopoxy,Medium,8,"uncommon, chaotic neutral, medium, fey",130,27,"suggestion, protect",Battlezoo Bestiary: 62
Mogadb,Large,3,"neutral, large, animal, fey5",55,19,"swarm, breath weapon, filth fever, disease",Battlezoo Bestiary: 63
Muted Delver,Huge,11,"chaotic evil, huge, aberration, amphibious",225,30,"telepathy, grabbed, stunned",Battlezoo Bestiary: 64
Myzoform,Large,8,"neutral evil, large, aberration, amphibious, swarm",130,26,"stupefied, grabbed, spellcaster",Battlezoo Bestiary: 65
Necroflesh monarch,Gargantuan,15,"uncommon, neutral evil, gargantuan, mindless, ooze, undead",350,33,"swallow, negative",Battlezoo Bestiary: 66
Nobbler,Medium,5,"rare, neutral, medium, construct, mindless",75,21,"suffocating, swallow",Battlezoo Bestiary: 67
Orb of Insanity,Tiny,15,"rare, chaotic neutral, tiny, construct",240,34,"occult, tentacle, grabbed, fly, shield, telekinetic",Battlezoo Bestiary: 68
Osphranteal (Kangaroo Agathion),Large,10,"uncommon, neutral good, large, agathion, celestial",210,30,"grabbed, divine, jump",Battlezoo Bestiary: 69
Othruni,Medium,7,"chaotic neutral, medium, fey, fungus",150,25,"plant, poison, spore",Battlezoo Bestiary: 70
